Model,TBS2204B
Firmware Version,v1.32.139

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,200000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH3
-1.59968e-02,0.169609
-1.59966e-02,0.170305
-1.59965e-02,0.170758
-1.59963e-02,0.171555
-1.59962e-02,0.172539
-1.59960e-02,0.172734
-1.59958e-02,0.172695
-1.59957e-02,0.172938
-1.59955e-02,0.172047
-1.59954e-02,0.170773
-1.59952e-02,0.170711
-1.59950e-02,0.170617
-1.59949e-02,0.169648
-1.59947e-02,0.169055
-1.59946e-02,0.167789
-1.59944e-02,0.165789
-1.59942e-02,0.1645
-1.59941e-02,0.163297
-1.59939e-02,0.16225
-1.59938e-02,0.161211
-1.59936e-02,0.159539
-1.59934e-02,0.158008
-1.59933e-02,0.157227
-1.59931e-02,0.156039
-1.59930e-02,0.154508
-1.59928e-02,0.153453
-1.59926e-02,0.152422
-1.59925e-02,0.151563
-1.59923e-02,0.151141
-1.59922e-02,0.150055
-1.59920e-02,0.149039
-1.59918e-02,0.149
-1.59917e-02,0.149
-1.59915e-02,0.148531
-1.59914e-02,0.147563
-1.59912e-02,0.147023
-1.59910e-02,0.147008
-1.59909e-02,0.146992
-1.59907e-02,0.147008
-1.59906e-02,0.146758
-1.59904e-02,0.146648
-1.59902e-02,0.146906
-1.59901e-02,0.147
-1.59899e-02,0.147
-1.59898e-02,0.146789
-1.59896e-02,0.146688
-1.59894e-02,0.147102
-1.59893e-02,0.147922
-1.59891e-02,0.148609
-1.59890e-02,0.148656
-1.59888e-02,0.148758
-1.59886e-02,0.149398
-1.59885e-02,0.150414
-1.59883e-02,0.151234
-1.59882e-02,0.151461
-1.59880e-02,0.152016
-1.59878e-02,0.152328
-1.59877e-02,0.152555
-1.59875e-02,0.153008
-1.59874e-02,0.153297
-1.59872e-02,0.154039
-1.59870e-02,0.154453
-1.59869e-02,0.154719
-1.59867e-02,0.154836
-1.59866e-02,0.154961
-1.59864e-02,0.155406
